sku,warehouse,mape,rmse,mae,bias,forecast_accuracy,n_test_days,model
SKU-1006,WH-001,57.69,44.45,35.72,28.0,0.4231,30,moving_average
SKU-1006,WH-002,61.54,58.04,47.31,25.5,0.3846,30,moving_average
SKU-1006,WH-003,61.63,53.15,45.39,27.53,0.3837,30,moving_average
SKU-1006,WH-004,66.0,55.77,46.17,26.63,0.34,30,moving_average
SKU-1006,WH-005,54.65,47.97,40.79,32.77,0.4535,30,moving_average
SKU-1006,WH-006,59.38,49.39,42.17,21.9,0.4062,30,moving_average
SKU-1006,WH-007,60.81,54.87,46.86,36.8,0.3919,30,moving_average
SKU-1007,WH-001,65.23,94.68,74.95,-30.1,0.3477,30,moving_average
SKU-1007,WH-002,119.89,68.97,51.33,7.67,0.0,30,moving_average
SKU-1007,WH-003,43.61,80.62,59.16,-39.8,0.5639,30,moving_average
SKU-1007,WH-004,45.53,85.79,64.93,-34.87,0.5447,30,moving_average
SKU-1007,WH-005,53.84,69.24,57.83,-13.07,0.4616,30,moving_average
SKU-1007,WH-006,59.06,79.92,63.09,-46.37,0.4094,30,moving_average
SKU-1007,WH-007,51.25,56.0,45.23,-6.53,0.4875,30,moving_average
SKU-1009,WH-001,29.5,139.22,118.57,23.2,0.705,30,moving_average
SKU-1009,WH-002,39.95,175.68,146.71,84.57,0.6005,30,moving_average
SKU-1009,WH-003,29.12,161.71,131.28,2.07,0.7088,30,moving_average
SKU-1009,WH-004,26.88,145.33,124.19,-8.0,0.7312,30,moving_average
SKU-1009,WH-005,30.62,154.73,129.86,34.23,0.6938,30,moving_average
SKU-1009,WH-006,18.1,109.08,86.33,-12.07,0.819,30,moving_average
SKU-1009,WH-007,28.87,139.93,120.61,31.13,0.7113,30,moving_average
SKU-1010,WH-001,39.16,124.62,111.02,-2.23,0.6084,30,moving_average
SKU-1010,WH-002,34.96,126.12,105.06,34.4,0.6504,30,moving_average
SKU-1010,WH-003,27.08,115.52,85.47,-8.63,0.7292,30,moving_average
SKU-1010,WH-004,27.08,100.16,84.64,-2.4,0.7292,30,moving_average
SKU-1010,WH-005,31.54,115.12,93.07,19.27,0.6846,30,moving_average
SKU-1010,WH-006,20.8,84.87,74.9,-27.5,0.792,30,moving_average
SKU-1010,WH-007,28.37,102.96,88.87,7.13,0.7163,30,moving_average
SKU-1011,WH-001,33.33,149.06,134.04,-32.87,0.6667,30,moving_average
SKU-1011,WH-002,30.06,154.9,120.31,10.93,0.6994,30,moving_average
SKU-1011,WH-003,29.42,152.7,124.63,-30.27,0.7058,30,moving_average
SKU-1011,WH-004,25.18,145.5,119.93,-51.73,0.7482,30,moving_average
SKU-1011,WH-005,30.1,156.72,123.89,-21.93,0.699,30,moving_average
SKU-1011,WH-006,21.15,115.19,100.17,-51.37,0.7885,30,moving_average
SKU-1011,WH-007,28.52,139.03,120.85,-23.17,0.7148,30,moving_average
SKU-1012,WH-001,31.15,81.01,74.9,-2.37,0.6885,30,moving_average
SKU-1012,WH-002,32.06,89.56,77.76,17.17,0.6794,30,moving_average
SKU-1012,WH-003,29.53,106.82,78.19,-17.03,0.7047,30,moving_average
SKU-1012,WH-004,29.07,95.36,77.86,-20.57,0.7093,30,moving_average
SKU-1012,WH-005,30.5,101.64,79.9,-5.63,0.695,30,moving_average
SKU-1012,WH-006,21.58,78.55,65.33,-38.83,0.7842,30,moving_average
SKU-1012,WH-007,29.74,80.94,67.47,26.7,0.7026,30,moving_average
SKU-1013,WH-001,30.04,113.72,98.35,0.8,0.6996,30,moving_average
SKU-1013,WH-002,35.29,135.82,111.29,45.43,0.6471,30,moving_average
SKU-1013,WH-003,29.22,143.98,105.48,-6.2,0.7078,30,moving_average
SKU-1013,WH-004,24.51,114.68,96.55,-24.23,0.7549,30,moving_average
SKU-1013,WH-005,29.22,135.64,111.59,-13.87,0.7078,30,moving_average
SKU-1013,WH-006,18.03,85.02,71.88,-31.07,0.8197,30,moving_average
SKU-1013,WH-007,25.48,106.06,91.43,1.33,0.7452,30,moving_average
SKU-1014,WH-001,30.65,133.33,114.5,27.4,0.6935,30,moving_average
SKU-1014,WH-002,38.08,164.55,137.37,69.63,0.6192,30,moving_average
SKU-1014,WH-003,32.44,156.18,131.99,13.93,0.6756,30,moving_average
SKU-1014,WH-004,26.49,137.23,113.91,-7.87,0.7351,30,moving_average
SKU-1014,WH-005,31.32,142.25,123.09,33.77,0.6868,30,moving_average
SKU-1014,WH-006,21.15,109.01,89.4,-14.47,0.7885,30,moving_average
SKU-1014,WH-007,26.38,123.92,99.53,40.93,0.7362,30,moving_average
SKU-1016,WH-001,30.12,112.88,98.48,-37.73,0.6988,30,moving_average
SKU-1016,WH-002,30.93,103.24,89.53,8.93,0.6907,30,moving_average
SKU-1016,WH-003,26.97,114.69,90.57,-32.6,0.7303,30,moving_average
SKU-1016,WH-004,27.36,111.05,96.45,-42.17,0.7264,30,moving_average
SKU-1016,WH-005,28.93,115.56,91.85,-17.0,0.7107,30,moving_average
SKU-1016,WH-006,21.15,92.65,78.0,-50.53,0.7885,30,moving_average
SKU-1016,WH-007,20.98,85.51,69.28,-16.9,0.7902,30,moving_average
SKU-1017,WH-001,29.93,129.01,116.54,-25.97,0.7007,30,moving_average
SKU-1017,WH-002,30.19,130.8,106.76,23.7,0.6981,30,moving_average
SKU-1017,WH-003,28.97,147.31,118.63,-33.17,0.7103,30,moving_average
SKU-1017,WH-004,27.51,148.37,125.03,-60.7,0.7249,30,moving_average
SKU-1017,WH-005,30.84,137.88,121.53,-8.27,0.6916,30,moving_average
SKU-1017,WH-006,18.91,111.35,88.71,-56.33,0.8109,30,moving_average
SKU-1017,WH-007,26.66,128.66,107.66,-31.5,0.7334,30,moving_average
SKU-1018,WH-001,67.0,49.71,41.57,17.37,0.33,30,moving_average
SKU-1018,WH-002,118.1,60.28,51.4,40.07,0.0,30,moving_average
SKU-1018,WH-003,133.42,56.26,46.97,29.2,0.0,30,moving_average
SKU-1018,WH-004,49.26,56.72,46.95,-12.6,0.5074,30,moving_average
SKU-1018,WH-005,111.86,51.91,40.61,18.83,0.0,30,moving_average
SKU-1018,WH-006,89.07,44.49,34.17,14.0,0.1093,30,moving_average
SKU-1018,WH-007,43.85,48.63,39.72,-1.87,0.5615,30,moving_average
SKU-1022,WH-001,32.99,97.1,84.05,-6.47,0.6701,30,moving_average
SKU-1022,WH-002,44.03,103.48,88.26,29.07,0.5597,30,moving_average
SKU-1022,WH-003,43.2,118.84,94.23,-7.6,0.568,30,moving_average
SKU-1022,WH-004,26.97,82.77,69.08,-20.47,0.7303,30,moving_average
SKU-1022,WH-005,35.72,104.59,87.37,-25.27,0.6428,30,moving_average
SKU-1022,WH-006,26.05,74.55,58.41,-16.3,0.7395,30,moving_average
SKU-1022,WH-007,42.87,96.34,85.55,22.23,0.5713,30,moving_average
SKU-1023,WH-001,31.96,94.57,76.64,-26.13,0.6804,30,moving_average
SKU-1023,WH-002,30.38,90.56,71.3,-1.43,0.6962,30,moving_average
SKU-1023,WH-003,27.2,115.36,76.28,-36.2,0.728,30,moving_average
SKU-1023,WH-004,22.76,81.31,62.1,-32.57,0.7724,30,moving_average
SKU-1023,WH-005,29.92,98.14,74.59,-31.67,0.7008,30,moving_average
SKU-1023,WH-006,22.88,75.23,58.92,-33.27,0.7712,30,moving_average
SKU-1023,WH-007,29.64,86.85,73.4,-22.4,0.7036,30,moving_average
SKU-1024,WH-001,30.35,87.82,75.71,-36.73,0.6965,30,moving_average
SKU-1024,WH-002,27.91,83.23,63.46,-5.23,0.7209,30,moving_average
SKU-1024,WH-003,29.9,97.47,72.14,-28.5,0.701,30,moving_average
SKU-1024,WH-004,24.55,80.38,65.89,-35.87,0.7545,30,moving_average
SKU-1024,WH-005,32.45,98.9,79.25,-38.9,0.6755,30,moving_average
SKU-1024,WH-006,18.46,63.35,49.71,-36.0,0.8154,30,moving_average
SKU-1024,WH-007,27.15,80.14,68.33,-27.17,0.7285,30,moving_average
SKU-1025,WH-001,28.35,136.9,115.27,21.87,0.7165,30,moving_average
SKU-1025,WH-002,36.74,173.36,148.26,70.3,0.6326,30,moving_average
SKU-1025,WH-003,30.11,169.59,139.68,1.17,0.6989,30,moving_average
SKU-1025,WH-004,26.07,147.37,125.27,-16.57,0.7393,30,moving_average
SKU-1025,WH-005,30.46,153.71,132.83,37.2,0.6954,30,moving_average
SKU-1025,WH-006,17.97,112.31,87.15,-20.5,0.8203,30,moving_average
SKU-1025,WH-007,26.19,136.31,114.65,29.13,0.7381,30,moving_average
SKU-1026,WH-001,81.59,54.3,44.65,-1.33,0.1841,30,moving_average
SKU-1026,WH-002,64.46,61.95,45.71,-4.13,0.3554,30,moving_average
SKU-1026,WH-003,546.73,61.95,54.8,17.4,0.0,30,moving_average
SKU-1026,WH-004,128.1,74.05,52.2,-10.0,0.0,30,moving_average
SKU-1026,WH-005,190.29,59.9,52.39,10.73,0.0,30,moving_average
SKU-1026,WH-006,67.75,49.75,42.23,7.2,0.3225,30,moving_average
SKU-1026,WH-007,148.69,67.74,58.32,-0.73,0.0,30,moving_average
SKU-1027,WH-001,45.14,111.09,99.19,-5.17,0.5486,30,moving_average
SKU-1027,WH-002,36.81,111.28,85.81,26.43,0.6319,30,moving_average
SKU-1027,WH-003,37.96,143.21,94.06,-3.9,0.6204,30,moving_average
SKU-1027,WH-004,31.67,118.19,97.17,-18.3,0.6833,30,moving_average
SKU-1027,WH-005,33.34,93.49,83.31,1.63,0.6666,30,moving_average
SKU-1027,WH-006,23.16,72.39,63.23,-7.87,0.7684,30,moving_average
SKU-1027,WH-007,36.11,98.49,84.19,12.0,0.6389,30,moving_average
SKU-1028,WH-001,38.38,86.14,65.89,51.03,0.6162,30,moving_average
SKU-1028,WH-002,47.02,108.02,88.42,75.97,0.5298,30,moving_average
SKU-1028,WH-003,37.13,88.91,74.35,44.17,0.6287,30,moving_average
SKU-1028,WH-004,33.15,86.79,69.62,31.17,0.6685,30,moving_average
SKU-1028,WH-005,41.98,98.34,79.9,51.83,0.5802,30,moving_average
SKU-1028,WH-006,24.84,67.63,53.2,24.13,0.7516,30,moving_average
SKU-1028,WH-007,40.32,93.16,78.62,64.77,0.5968,30,moving_average
SKU-1029,WH-001,35.66,101.34,85.13,-14.73,0.6434,30,moving_average
SKU-1029,WH-002,36.44,92.29,77.84,30.0,0.6356,30,moving_average
SKU-1029,WH-003,29.26,100.72,78.53,-13.27,0.7074,30,moving_average
SKU-1029,WH-004,25.37,85.79,69.85,-5.17,0.7463,30,moving_average
SKU-1029,WH-005,30.29,93.21,76.88,9.8,0.6971,30,moving_average
SKU-1029,WH-006,19.63,66.21,53.45,-7.47,0.8037,30,moving_average
SKU-1029,WH-007,33.11,93.89,79.1,9.03,0.6689,30,moving_average
SKU-1000,WH-001,30.69,99.13,86.63,-19.83,0.6931,30,exponential_smoothing
SKU-1000,WH-002,30.87,102.78,87.12,12.54,0.6913,30,exponential_smoothing
SKU-1000,WH-003,27.0,101.48,74.97,-12.35,0.73,30,exponential_smoothing
SKU-1000,WH-004,25.91,95.07,81.23,-28.03,0.7409,30,exponential_smoothing
SKU-1000,WH-005,35.49,114.05,96.87,0.77,0.6451,30,exponential_smoothing
SKU-1000,WH-006,18.61,75.33,60.49,-33.9,0.8139,30,exponential_smoothing
SKU-1000,WH-007,29.82,92.64,80.2,19.6,0.7018,30,exponential_smoothing
SKU-1001,WH-001,33.72,129.49,114.79,15.63,0.6628,30,exponential_smoothing
SKU-1001,WH-002,31.18,141.05,114.77,22.48,0.6882,30,exponential_smoothing
SKU-1001,WH-003,27.95,146.08,114.07,-4.16,0.7205,30,exponential_smoothing
SKU-1001,WH-004,26.13,131.34,114.07,-39.3,0.7387,30,exponential_smoothing
SKU-1001,WH-005,35.62,150.8,133.16,15.24,0.6438,30,exponential_smoothing
SKU-1001,WH-006,20.32,98.59,87.79,-36.83,0.7968,30,exponential_smoothing
SKU-1001,WH-007,30.12,128.9,111.23,38.93,0.6988,30,exponential_smoothing
SKU-1002,WH-001,37.41,142.22,123.81,0.97,0.6259,30,exponential_smoothing
SKU-1002,WH-002,30.91,158.2,120.17,5.83,0.6909,30,exponential_smoothing
SKU-1002,WH-003,36.6,176.97,136.89,-33.6,0.634,30,exponential_smoothing
SKU-1002,WH-004,23.9,166.77,112.02,-66.98,0.761,30,exponential_smoothing
SKU-1002,WH-005,31.28,163.95,122.47,-35.85,0.6872,30,exponential_smoothing
SKU-1002,WH-006,24.1,110.94,92.24,-19.11,0.759,30,exponential_smoothing
SKU-1002,WH-007,38.6,147.06,118.89,35.09,0.614,30,exponential_smoothing
SKU-1003,WH-001,43.47,153.74,133.29,-30.87,0.5653,30,exponential_smoothing
SKU-1003,WH-002,37.28,163.4,131.2,-12.03,0.6272,30,exponential_smoothing
SKU-1003,WH-003,30.97,176.62,123.91,-29.81,0.6903,30,exponential_smoothing
SKU-1003,WH-004,28.5,163.46,121.74,-56.6,0.715,30,exponential_smoothing
SKU-1003,WH-005,35.42,181.34,134.32,-59.63,0.6458,30,exponential_smoothing
SKU-1003,WH-006,17.73,88.99,71.5,-39.27,0.8227,30,exponential_smoothing
SKU-1003,WH-007,30.81,122.08,101.69,-7.35,0.6919,30,exponential_smoothing
SKU-1005,WH-001,32.98,120.92,106.07,-1.64,0.6702,30,exponential_smoothing
SKU-1005,WH-002,32.61,126.04,106.27,28.59,0.6739,30,exponential_smoothing
SKU-1005,WH-003,26.64,111.36,91.33,1.43,0.7336,30,exponential_smoothing
SKU-1005,WH-004,26.52,124.2,109.76,-50.36,0.7348,30,exponential_smoothing
SKU-1005,WH-005,34.08,131.74,111.53,5.92,0.6592,30,exponential_smoothing
SKU-1005,WH-006,18.24,78.63,67.89,-20.79,0.8176,30,exponential_smoothing
SKU-1005,WH-007,28.41,110.79,97.53,23.26,0.7159,30,exponential_smoothing
SKU-1006,WH-001,44.79,38.72,32.84,0.23,0.5521,30,exponential_smoothing
SKU-1006,WH-002,42.59,63.01,49.81,-34.92,0.5741,30,exponential_smoothing
SKU-1006,WH-003,35.95,45.06,35.81,-11.51,0.6405,30,exponential_smoothing
SKU-1006,WH-004,51.92,54.36,47.53,-9.36,0.4808,30,exponential_smoothing
SKU-1006,WH-005,34.66,36.85,31.73,-1.89,0.6534,30,exponential_smoothing
SKU-1006,WH-006,35.02,47.92,37.16,-19.1,0.6498,30,exponential_smoothing
SKU-1006,WH-007,37.06,39.97,33.52,3.68,0.6294,30,exponential_smoothing
SKU-1007,WH-001,76.21,98.46,78.72,-21.67,0.2379,30,exponential_smoothing
SKU-1007,WH-002,151.18,81.09,65.01,24.26,0.0,30,exponential_smoothing
SKU-1007,WH-003,45.5,74.64,55.63,-27.04,0.545,30,exponential_smoothing
SKU-1007,WH-004,45.02,81.77,62.06,-25.91,0.5498,30,exponential_smoothing
SKU-1007,WH-005,63.94,69.38,58.7,6.15,0.3606,30,exponential_smoothing
SKU-1007,WH-006,65.07,78.49,64.88,-38.84,0.3493,30,exponential_smoothing
SKU-1007,WH-007,56.83,57.77,46.79,1.28,0.4317,30,exponential_smoothing
SKU-1009,WH-001,34.89,164.94,131.0,70.78,0.6511,30,exponential_smoothing
SKU-1009,WH-002,37.35,173.63,145.81,46.72,0.6265,30,exponential_smoothing
SKU-1009,WH-003,25.27,161.83,125.41,-33.78,0.7473,30,exponential_smoothing
SKU-1009,WH-004,29.66,159.12,133.07,14.91,0.7034,30,exponential_smoothing
SKU-1009,WH-005,32.54,171.82,143.87,14.17,0.6746,30,exponential_smoothing
SKU-1009,WH-006,19.73,121.66,99.71,-42.74,0.8027,30,exponential_smoothing
SKU-1009,WH-007,29.48,147.9,124.03,45.22,0.7052,30,exponential_smoothing
SKU-1010,WH-001,40.97,133.09,120.92,-17.6,0.5903,30,exponential_smoothing
SKU-1010,WH-002,32.52,132.1,105.33,11.79,0.6748,30,exponential_smoothing
SKU-1010,WH-003,23.02,113.89,78.75,-19.93,0.7698,30,exponential_smoothing
SKU-1010,WH-004,28.79,118.2,100.99,-42.87,0.7121,30,exponential_smoothing
SKU-1010,WH-005,34.18,126.56,103.04,12.2,0.6582,30,exponential_smoothing
SKU-1010,WH-006,23.02,99.86,87.54,-56.39,0.7698,30,exponential_smoothing
SKU-1010,WH-007,27.51,105.55,88.45,8.33,0.7249,30,exponential_smoothing
SKU-1011,WH-001,37.07,159.88,144.1,-19.84,0.6293,30,exponential_smoothing
SKU-1011,WH-002,30.3,163.89,124.15,3.23,0.697,30,exponential_smoothing
SKU-1011,WH-003,28.9,149.4,120.02,-14.31,0.711,30,exponential_smoothing
SKU-1011,WH-004,27.49,146.79,122.26,-14.66,0.7251,30,exponential_smoothing
SKU-1011,WH-005,32.61,171.09,131.8,-15.5,0.6739,30,exponential_smoothing
SKU-1011,WH-006,22.33,116.08,104.1,-44.4,0.7767,30,exponential_smoothing
SKU-1011,WH-007,29.28,139.15,119.28,8.32,0.7072,30,exponential_smoothing
SKU-1012,WH-001,32.23,85.04,74.47,3.43,0.6777,30,exponential_smoothing
SKU-1012,WH-002,35.66,102.9,87.84,16.18,0.6434,30,exponential_smoothing
SKU-1012,WH-003,30.56,107.33,79.2,-5.2,0.6944,30,exponential_smoothing
SKU-1012,WH-004,30.12,107.03,85.61,-38.79,0.6988,30,exponential_smoothing
SKU-1012,WH-005,36.5,111.07,88.55,18.62,0.635,30,exponential_smoothing
SKU-1012,WH-006,21.46,76.39,64.01,-35.95,0.7854,30,exponential_smoothing
SKU-1012,WH-007,35.27,91.2,80.28,46.9,0.6473,30,exponential_smoothing
SKU-1013,WH-001,33.1,123.01,107.91,1.49,0.669,30,exponential_smoothing
SKU-1013,WH-002,33.62,140.35,111.13,27.05,0.6638,30,exponential_smoothing
SKU-1013,WH-003,27.66,144.5,101.25,-3.89,0.7234,30,exponential_smoothing
SKU-1013,WH-004,26.81,133.72,112.72,-49.32,0.7319,30,exponential_smoothing
SKU-1013,WH-005,31.9,146.85,122.22,-14.91,0.681,30,exponential_smoothing
SKU-1013,WH-006,18.73,86.43,74.71,-27.62,0.8127,30,exponential_smoothing
SKU-1013,WH-007,27.34,109.95,95.65,30.96,0.7266,30,exponential_smoothing
SKU-1014,WH-001,35.81,158.19,125.24,62.49,0.6419,30,exponential_smoothing
SKU-1014,WH-002,35.08,162.98,131.36,40.25,0.6492,30,exponential_smoothing
SKU-1014,WH-003,27.81,152.05,121.41,-11.75,0.7219,30,exponential_smoothing
SKU-1014,WH-004,31.21,149.56,130.77,17.78,0.6879,30,exponential_smoothing
SKU-1014,WH-005,31.7,151.92,133.05,4.22,0.683,30,exponential_smoothing
SKU-1014,WH-006,21.39,113.86,96.11,-39.66,0.7861,30,exponential_smoothing
SKU-1014,WH-007,27.35,129.15,107.81,45.17,0.7265,30,exponential_smoothing
SKU-1016,WH-001,33.62,114.94,99.47,-6.07,0.6638,30,exponential_smoothing
SKU-1016,WH-002,33.28,110.91,92.77,27.35,0.6672,30,exponential_smoothing
SKU-1016,WH-003,28.58,109.68,89.51,-5.65,0.7142,30,exponential_smoothing
SKU-1016,WH-004,28.86,117.2,102.03,-42.4,0.7114,30,exponential_smoothing
SKU-1016,WH-005,34.78,126.9,100.95,18.35,0.6522,30,exponential_smoothing
SKU-1016,WH-006,20.22,80.92,70.41,-24.06,0.7978,30,exponential_smoothing
SKU-1016,WH-007,25.15,91.51,76.89,24.33,0.7485,30,exponential_smoothing
SKU-1017,WH-001,33.24,140.76,128.51,-19.63,0.6676,30,exponential_smoothing
SKU-1017,WH-002,33.39,148.55,119.02,22.77,0.6661,30,exponential_smoothing
SKU-1017,WH-003,28.83,141.52,113.24,-4.81,0.7117,30,exponential_smoothing
SKU-1017,WH-004,28.37,159.0,130.31,-62.39,0.7163,30,exponential_smoothing
SKU-1017,WH-005,36.12,150.73,131.33,28.4,0.6388,30,exponential_smoothing
SKU-1017,WH-006,19.78,113.41,92.35,-57.88,0.8022,30,exponential_smoothing
SKU-1017,WH-007,27.95,128.36,105.41,8.33,0.7205,30,exponential_smoothing
SKU-1018,WH-001,68.31,54.16,46.35,8.13,0.3169,30,exponential_smoothing
SKU-1018,WH-002,104.75,57.12,48.75,27.86,0.0,30,exponential_smoothing
SKU-1018,WH-003,109.76,50.37,39.28,11.75,0.0,30,exponential_smoothing
SKU-1018,WH-004,56.53,69.32,58.29,-27.95,0.4347,30,exponential_smoothing
SKU-1018,WH-005,93.76,54.85,45.63,-15.61,0.0624,30,exponential_smoothing
SKU-1018,WH-006,71.23,41.16,32.81,-3.89,0.2877,30,exponential_smoothing
SKU-1018,WH-007,46.7,51.8,41.06,-1.35,0.533,30,exponential_smoothing
SKU-1022,WH-001,35.67,102.73,90.27,-7.11,0.6433,30,exponential_smoothing
SKU-1022,WH-002,43.99,111.66,95.01,22.8,0.5601,30,exponential_smoothing
SKU-1022,WH-003,39.69,120.31,93.06,-23.63,0.6031,30,exponential_smoothing
SKU-1022,WH-004,28.7,98.4,78.63,-37.94,0.713,30,exponential_smoothing
SKU-1022,WH-005,38.17,111.35,93.03,-17.8,0.6183,30,exponential_smoothing
SKU-1022,WH-006,26.76,78.62,64.3,-28.66,0.7324,30,exponential_smoothing
SKU-1022,WH-007,48.12,107.2,93.06,34.09,0.5188,30,exponential_smoothing
SKU-1023,WH-001,37.53,99.52,85.24,-16.71,0.6247,30,exponential_smoothing
SKU-1023,WH-002,25.99,120.03,79.84,-69.58,0.7401,30,exponential_smoothing
SKU-1023,WH-003,24.61,126.97,78.32,-62.06,0.7539,30,exponential_smoothing
SKU-1023,WH-004,23.94,87.15,66.89,-37.49,0.7606,30,exponential_smoothing
SKU-1023,WH-005,31.72,107.41,81.78,-44.91,0.6828,30,exponential_smoothing
SKU-1023,WH-006,28.57,100.99,80.32,-73.9,0.7143,30,exponential_smoothing
SKU-1023,WH-007,26.82,101.59,76.95,-56.21,0.7318,30,exponential_smoothing
SKU-1024,WH-001,34.36,88.91,79.31,-21.93,0.6564,30,exponential_smoothing
SKU-1024,WH-002,26.53,97.1,69.85,-40.61,0.7347,30,exponential_smoothing
SKU-1024,WH-003,28.02,99.76,70.92,-33.54,0.7198,30,exponential_smoothing
SKU-1024,WH-004,25.53,83.81,68.28,-34.05,0.7447,30,exponential_smoothing
SKU-1024,WH-005,36.32,102.15,79.72,-14.14,0.6368,30,exponential_smoothing
SKU-1024,WH-006,19.08,58.61,49.47,-22.59,0.8092,30,exponential_smoothing
SKU-1024,WH-007,29.74,78.16,67.91,0.93,0.7026,30,exponential_smoothing
SKU-1025,WH-001,33.19,164.42,124.55,70.46,0.6681,30,exponential_smoothing
SKU-1025,WH-002,39.19,188.83,156.95,84.17,0.6081,30,exponential_smoothing
SKU-1025,WH-003,27.77,166.86,132.64,-4.11,0.7223,30,exponential_smoothing
SKU-1025,WH-004,29.54,159.35,138.82,6.24,0.7046,30,exponential_smoothing
SKU-1025,WH-005,32.31,167.29,144.24,25.55,0.6769,30,exponential_smoothing
SKU-1025,WH-006,19.42,115.88,95.95,-22.81,0.8058,30,exponential_smoothing
SKU-1025,WH-007,29.03,149.41,125.03,65.45,0.7097,30,exponential_smoothing
SKU-1026,WH-001,68.48,62.82,45.52,-35.32,0.3152,30,exponential_smoothing
SKU-1026,WH-002,79.56,82.34,56.6,-55.79,0.2044,30,exponential_smoothing
SKU-1026,WH-003,196.42,64.11,44.17,-30.43,0.0,30,exponential_smoothing
SKU-1026,WH-004,126.87,70.75,50.28,-2.56,0.0,30,exponential_smoothing
SKU-1026,WH-005,88.32,59.68,44.78,-21.76,0.1168,30,exponential_smoothing
SKU-1026,WH-006,82.11,64.97,45.96,-43.99,0.1789,30,exponential_smoothing
SKU-1026,WH-007,92.17,73.36,57.42,-35.39,0.0783,30,exponential_smoothing
SKU-1027,WH-001,53.08,121.9,106.63,28.02,0.4692,30,exponential_smoothing
SKU-1027,WH-002,36.94,117.19,90.49,16.61,0.6306,30,exponential_smoothing
SKU-1027,WH-003,37.07,144.09,92.14,-2.97,0.6293,30,exponential_smoothing
SKU-1027,WH-004,32.3,132.66,105.64,-40.74,0.677,30,exponential_smoothing
SKU-1027,WH-005,35.87,104.8,91.59,-5.46,0.6413,30,exponential_smoothing
SKU-1027,WH-006,21.85,81.51,66.52,-39.88,0.7815,30,exponential_smoothing
SKU-1027,WH-007,34.84,98.45,82.8,14.48,0.6516,30,exponential_smoothing
SKU-1028,WH-001,37.82,86.33,68.18,33.37,0.6218,30,exponential_smoothing
SKU-1028,WH-002,38.08,94.49,77.67,29.82,0.6192,30,exponential_smoothing
SKU-1028,WH-003,27.34,78.81,62.33,4.59,0.7266,30,exponential_smoothing
SKU-1028,WH-004,36.54,96.23,83.7,12.68,0.6346,30,exponential_smoothing
SKU-1028,WH-005,36.68,99.48,83.34,-5.74,0.6332,30,exponential_smoothing
SKU-1028,WH-006,25.66,78.06,65.64,-31.53,0.7434,30,exponential_smoothing
