sku,warehouse,abc_class,target_service_level,z_score,demand_avg,demand_std,demand_cv,lead_time_avg,lead_time_std,review_period_days,safety_stock,reorder_point,eoq,max_stock,on_hand_units,inventory_value_vnd,dos,stockout_risk,replenishment_needed,policy_status
SKU-1003,WH-002,B,0.955,1.695,360.3,149.8,0.416,16,1.6,30,1410.0,7175.0,14967.0,22142.0,705,8691240.0,2.0,1.0,True,CRITICAL
SKU-1003,WH-003,B,0.955,1.695,368.3,155.7,0.423,16,1.6,30,1454.0,7346.0,15132.0,22478.0,1586,19552208.0,4.3,1.0,True,REORDER
SKU-1003,WH-004,B,0.955,1.695,359.3,147.2,0.41,16,1.6,30,1395.0,7144.0,14946.0,22090.0,857,10565096.0,2.4,1.0,True,CRITICAL
SKU-1003,WH-005,B,0.955,1.695,351.8,138.3,0.393,16,1.6,30,1338.0,6967.0,14790.0,21757.0,1715,21142520.0,4.9,1.0,True,REORDER
SKU-1003,WH-006,B,0.955,1.695,373.1,148.1,0.397,16,1.6,30,1426.0,7396.0,15231.0,22626.0,136,1676608.0,0.4,1.0,True,CRITICAL
SKU-1003,WH-007,B,0.955,1.695,361.2,154.2,0.427,16,1.6,30,1433.0,7212.0,14985.0,22197.0,774,9541872.0,2.1,1.0,True,CRITICAL
SKU-1005,WH-001,C,0.905,1.311,316.4,120.0,0.379,11,0.5,14,561.0,4042.0,14343.0,18385.0,361,3369574.0,1.1,1.0,True,CRITICAL
SKU-1005,WH-002,C,0.905,1.311,337.3,123.0,0.365,11,0.5,14,579.0,4289.0,14810.0,19099.0,1532,14299688.0,4.5,1.0,True,REORDER
SKU-1005,WH-003,C,0.905,1.311,328.6,128.0,0.39,11,0.5,14,597.0,4212.0,14618.0,18830.0,1732,16166488.0,5.3,1.0,True,REORDER
SKU-1005,WH-004,C,0.905,1.311,324.6,120.1,0.37,11,0.5,14,564.0,4134.0,14528.0,18662.0,2473,23082982.0,7.6,1.0,True,REORDER
SKU-1005,WH-005,C,0.905,1.311,323.9,125.8,0.389,11,0.5,14,587.0,4149.0,14511.0,18660.0,2507,23400338.0,7.7,1.0,True,REORDER
SKU-1005,WH-006,C,0.905,1.311,334.8,115.6,0.345,11,0.5,14,548.0,4231.0,14755.0,18986.0,2237,20880158.0,6.7,1.0,True,REORDER
SKU-1005,WH-007,C,0.905,1.311,336.4,132.1,0.393,11,0.5,14,615.0,4316.0,14791.0,19107.0,1778,16595852.0,5.3,1.0,True,REORDER
SKU-1006,WH-001,C,0.913,1.359,116.1,63.1,0.544,8,2.6,7,477.0,1405.0,14190.0,15596.0,836,9896568.0,7.2,0.9993,True,REORDER
SKU-1006,WH-002,C,0.913,1.359,125.9,67.8,0.539,8,2.6,7,516.0,1523.0,14776.0,16299.0,935,11068530.0,7.4,0.9989,True,REORDER
SKU-1006,WH-003,C,0.913,1.359,124.9,73.2,0.586,8,2.6,7,524.0,1523.0,14719.0,16242.0,2841,33631758.0,22.7,0.0,False,OK
SKU-1006,WH-004,C,0.913,1.359,117.9,68.2,0.578,8,2.6,7,492.0,1436.0,14300.0,15736.0,875,10358250.0,7.4,0.9982,True,REORDER
SKU-1006,WH-005,C,0.913,1.359,121.0,71.4,0.59,8,2.6,7,508.0,1476.0,14488.0,15965.0,2810,33264780.0,23.2,0.0,False,OK
SKU-1006,WH-006,C,0.913,1.359,124.0,70.0,0.565,8,2.6,7,515.0,1507.0,14668.0,16174.0,802,9494076.0,6.5,0.9998,True,REORDER
SKU-1006,WH-007,C,0.913,1.359,123.3,69.6,0.564,8,2.6,7,512.0,1498.0,14627.0,16125.0,2058,24362604.0,16.7,0.0022,False,OK
SKU-1007,WH-001,C,0.897,1.265,115.7,73.2,0.633,14,1.9,30,444.0,2064.0,13957.0,16021.0,1056,8078400.0,9.1,0.9999,True,REORDER
SKU-1007,WH-002,C,0.897,1.265,116.7,78.8,0.675,14,1.9,30,467.0,2100.0,14016.0,16116.0,2865,21917250.0,24.6,0.0047,False,OK
SKU-1007,WH-003,C,0.897,1.265,117.3,71.8,0.612,14,1.9,30,441.0,2083.0,14052.0,16135.0,2833,21672450.0,24.2,0.0026,False,OK
SKU-1007,WH-004,C,0.897,1.265,111.8,70.9,0.634,14,1.9,30,430.0,1995.0,13720.0,15715.0,1217,9310050.0,10.9,0.9983,True,REORDER
SKU-1007,WH-005,C,0.897,1.265,113.4,67.6,0.596,14,1.9,30,420.0,2007.0,13817.0,15824.0,264,2019600.0,2.3,1.0,True,CRITICAL
SKU-1007,WH-006,C,0.897,1.265,123.0,78.4,0.637,14,1.9,30,474.0,2197.0,14394.0,16591.0,187,1430550.0,1.5,1.0,True,CRITICAL
SKU-1007,WH-007,C,0.897,1.265,115.8,70.9,0.613,14,1.9,30,436.0,2057.0,13961.0,16018.0,2466,18864900.0,21.3,0.0614,False,OK
SKU-1009,WH-001,C,0.894,1.248,479.8,176.4,0.368,4,0.6,7,568.0,2488.0,16647.0,19135.0,1705,19309125.0,3.6,0.9867,True,REORDER
SKU-1009,WH-002,C,0.894,1.248,518.1,185.4,0.358,4,0.6,7,604.0,2676.0,17299.0,19976.0,675,7644375.0,1.3,1.0,True,REORDER
SKU-1009,WH-003,C,0.894,1.248,500.2,193.7,0.387,4,0.6,7,612.0,2613.0,16998.0,19611.0,692,7836900.0,1.4,1.0,True,REORDER
SKU-1009,WH-004,C,0.894,1.248,492.3,177.9,0.361,4,0.6,7,577.0,2546.0,16862.0,19408.0,2566,29059950.0,5.2,0.4778,False,OK
SKU-1009,WH-005,C,0.894,1.248,494.1,199.9,0.405,4,0.6,7,621.0,2598.0,16893.0,19491.0,1405,15911625.0,2.8,0.9986,True,REORDER
SKU-1009,WH-006,C,0.894,1.248,518.8,192.3,0.371,4,0.6,7,618.0,2693.0,17311.0,20004.0,1330,15062250.0,2.6,0.9998,True,REORDER
SKU-1009,WH-007,C,0.894,1.248,511.3,201.4,0.394,4,0.6,7,632.0,2677.0,17185.0,19862.0,2971,33646575.0,5.8,0.2327,False,OK
SKU-1010,WH-001,C,0.893,1.243,376.1,135.8,0.361,10,0.8,7,651.0,4412.0,19342.0,23754.0,1049,7381813.0,2.8,1.0,True,REORDER
SKU-1010,WH-002,C,0.893,1.243,408.1,156.4,0.383,10,0.8,7,736.0,4817.0,20147.0,24964.0,1190,8374030.0,2.9,1.0,True,REORDER
SKU-1010,WH-003,C,0.893,1.243,392.5,153.0,0.39,10,0.8,7,717.0,4642.0,19759.0,24400.0,794,5587378.0,2.0,1.0,True,REORDER
SKU-1010,WH-004,C,0.893,1.243,382.9,135.7,0.355,10,0.8,7,655.0,4484.0,19515.0,24000.0,1125,7916625.0,2.9,1.0,True,REORDER
SKU-1010,WH-005,C,0.893,1.243,381.8,139.7,0.366,10,0.8,7,667.0,4485.0,19487.0,23973.0,1737,12223269.0,4.5,1.0,True,REORDER
SKU-1010,WH-006,C,0.893,1.243,402.5,148.8,0.37,10,0.8,7,709.0,4734.0,20010.0,24744.0,2959,20822483.0,7.4,0.9999,True,REORDER
SKU-1010,WH-007,C,0.893,1.243,397.2,148.5,0.374,10,0.8,7,704.0,4676.0,19876.0,24552.0,1801,12673637.0,4.5,1.0,True,REORDER
SKU-1011,WH-001,C,0.882,1.185,394.7,141.9,0.36,3,1.5,30,760.0,1944.0,20122.0,22065.0,1912,22471736.0,4.8,0.5513,True,REORDER
SKU-1011,WH-002,C,0.882,1.185,428.4,160.0,0.374,3,1.5,30,829.0,2115.0,20964.0,23078.0,803,9437659.0,1.9,1.0,True,CRITICAL
SKU-1011,WH-003,C,0.882,1.185,416.8,162.7,0.39,3,1.5,30,813.0,2063.0,20678.0,22742.0,1696,19933088.0,4.1,0.9037,True,REORDER
SKU-1011,WH-004,C,0.882,1.185,408.3,147.0,0.36,3,1.5,30,786.0,2011.0,20465.0,22476.0,940,11047820.0,2.3,1.0,True,REORDER
SKU-1011,WH-005,C,0.882,1.185,408.7,149.4,0.366,3,1.5,30,789.0,2014.0,20475.0,22489.0,804,9449412.0,2.0,1.0,True,REORDER
SKU-1011,WH-006,C,0.882,1.185,430.0,150.2,0.349,3,1.5,30,824.0,2114.0,21003.0,23117.0,2764,32485292.0,6.4,0.0063,False,OK
SKU-1011,WH-007,C,0.882,1.185,421.8,158.5,0.376,3,1.5,30,817.0,2083.0,20802.0,22885.0,2429,28548037.0,5.8,0.1037,False,OK
SKU-1012,WH-001,C,0.899,1.276,255.9,91.9,0.359,5,1.9,7,673.0,1953.0,16312.0,18265.0,1345,15907315.0,5.3,0.9984,True,REORDER
SKU-1012,WH-002,C,0.899,1.276,278.4,101.9,0.366,5,1.9,7,735.0,2127.0,17014.0,19140.0,2336,27627872.0,8.4,0.1791,False,OK
SKU-1012,WH-003,C,0.899,1.276,270.4,104.2,0.385,5,1.9,7,720.0,2072.0,16768.0,18839.0,2884,34109068.0,10.7,0.0002,False,OK
SKU-1012,WH-004,C,0.899,1.276,264.9,99.1,0.374,5,1.9,7,702.0,2026.0,16596.0,18622.0,2419,28609513.0,9.1,0.038,False,OK
SKU-1012,WH-005,C,0.899,1.276,263.1,102.8,0.391,5,1.9,7,702.0,2017.0,16540.0,18558.0,877,10372279.0,3.3,1.0,True,REORDER
SKU-1012,WH-006,C,0.899,1.276,276.2,94.4,0.342,5,1.9,7,722.0,2103.0,16948.0,19051.0,2361,27923547.0,8.5,0.1107,False,OK
SKU-1012,WH-007,C,0.899,1.276,274.1,105.4,0.385,5,1.9,7,729.0,2100.0,16883.0,18983.0,2439,28846053.0,8.9,0.0752,False,OK
SKU-1013,WH-001,A,0.979,2.034,387.7,136.6,0.352,3,1.9,30,1573.0,2737.0,8354.0,11090.0,2525,69669800.0,6.5,0.8145,True,REORDER
SKU-1013,WH-002,A,0.979,2.034,424.8,152.3,0.359,3,1.9,30,1727.0,3001.0,8743.0,11744.0,1843,50852056.0,4.3,1.0,True,REORDER
SKU-1013,WH-003,A,0.979,2.034,407.3,155.1,0.381,3,1.9,30,1666.0,2888.0,8562.0,11450.0,1334,36807728.0,3.3,1.0,True,CRITICAL
SKU-1013,WH-004,A,0.979,2.034,400.6,137.8,0.344,3,1.9,30,1622.0,2824.0,8491.0,11315.0,2039,56260088.0,5.1,0.9995,True,REORDER
SKU-1013,WH-005,A,0.979,2.034,399.7,136.0,0.34,3,1.9,30,1617.0,2816.0,8481.0,11297.0,538,14844496.0,1.3,1.0,True,CRITICAL
SKU-1013,WH-006,A,0.979,2.034,423.0,146.0,0.345,3,1.9,30,1713.0,2982.0,8725.0,11707.0,2666,73560272.0,6.3,0.8944,True,REORDER
SKU-1013,WH-007,A,0.979,2.034,414.9,154.1,0.372,3,1.9,30,1692.0,2937.0,8641.0,11577.0,2694,74332848.0,6.5,0.8185,True,REORDER
SKU-1014,WH-001,C,0.917,1.385,446.4,168.3,0.377,12,0.7,30,916.0,6274.0,24779.0,31053.0,2866,25917238.0,6.4,1.0,True,REORDER
SKU-1014,WH-002,C,0.917,1.385,484.8,174.9,0.361,12,0.7,30,962.0,6779.0,25821.0,32600.0,1264,11430352.0,2.6,1.0,True,REORDER
SKU-1014,WH-003,C,0.917,1.385,469.2,185.7,0.396,12,0.7,30,1000.0,6631.0,25403.0,32034.0,564,5100252.0,1.2,1.0,True,CRITICAL
SKU-1014,WH-004,C,0.917,1.385,459.9,166.1,0.361,12,0.7,30,913.0,6432.0,25149.0,31581.0,555,5018865.0,1.2,1.0,True,CRITICAL
SKU-1014,WH-005,C,0.917,1.385,462.4,187.6,0.406,12,0.7,30,1006.0,6555.0,25219.0,31774.0,2559,23141037.0,5.5,1.0,True,REORDER
SKU-1014,WH-006,C,0.917,1.385,483.7,182.0,0.376,12,0.7,30,991.0,6795.0,25791.0,32586.0,1858,16801894.0,3.8,1.0,True,REORDER
SKU-1014,WH-007,C,0.917,1.385,480.3,189.5,0.395,12,0.7,30,1022.0,6785.0,25701.0,32487.0,2424,21920232.0,5.0,1.0,True,REORDER
SKU-1016,WH-001,C,0.905,1.311,280.6,112.4,0.4,6,1.8,14,754.0,2438.0,11084.0,13522.0,1860,16799520.0,6.6,0.9821,True,REORDER
SKU-1016,WH-002,C,0.905,1.311,297.9,115.8,0.389,6,1.8,14,795.0,2582.0,11420.0,14002.0,474,4281168.0,1.6,1.0,True,CRITICAL
SKU-1016,WH-003,C,0.905,1.311,290.2,118.4,0.408,6,1.8,14,783.0,2524.0,11271.0,13796.0,666,6015312.0,2.3,1.0,True,CRITICAL
SKU-1016,WH-004,C,0.905,1.311,285.7,110.8,0.388,6,1.8,14,762.0,2477.0,11185.0,13661.0,2528,22832896.0,8.8,0.425,False,OK
SKU-1016,WH-005,C,0.905,1.311,284.2,113.4,0.399,6,1.8,14,763.0,2468.0,11154.0,13622.0,1909,17242088.0,6.7,0.9779,True,REORDER
SKU-1016,WH-006,C,0.905,1.311,299.2,104.1,0.348,6,1.8,14,781.0,2576.0,11446.0,14022.0,520,4696640.0,1.7,1.0,True,CRITICAL
SKU-1016,WH-007,C,0.905,1.311,297.6,118.2,0.397,6,1.8,14,798.0,2583.0,11414.0,13997.0,1208,10910656.0,4.1,1.0,True,REORDER
SKU-1017,WH-001,A,0.982,2.097,380.5,131.6,0.346,3,0.9,7,863.0,2004.0,14414.0,16418.0,2173,50102861.0,5.7,0.2292,False,OK
SKU-1017,WH-002,A,0.982,2.097,413.7,144.6,0.35,3,0.9,7,941.0,2182.0,15030.0,17212.0,2594,59809858.0,6.3,0.0501,False,OK
SKU-1017,WH-003,A,0.982,2.097,394.7,149.1,0.378,3,0.9,7,921.0,2105.0,14681.0,16786.0,781,18007517.0,2.0,1.0,True,CRITICAL
SKU-1017,WH-004,A,0.982,2.097,393.5,143.9,0.366,3,0.9,7,908.0,2089.0,14658.0,16747.0,769,17730833.0,2.0,1.0,True,CRITICAL
SKU-1017,WH-005,A,0.982,2.097,400.2,149.9,0.374,3,0.9,7,931.0,2132.0,14783.0,16914.0,607,13995599.0,1.5,1.0,True,CRITICAL
SKU-1017,WH-006,A,0.982,2.097,412.7,142.6,0.346,3,0.9,7,935.0,2173.0,15011.0,17184.0,208,4795856.0,0.5,1.0,True,CRITICAL
SKU-1017,WH-007,A,0.982,2.097,402.6,149.8,0.372,3,0.9,7,935.0,2143.0,14828.0,16970.0,2799,64536543.0,7.0,0.0057,False,OK
SKU-1018,WH-001,C,0.891,1.232,126.6,56.0,0.443,6,1.0,7,230.0,989.0,13492.0,14481.0,245,2568090.0,1.9,1.0,True,REORDER
SKU-1018,WH-002,C,0.891,1.232,135.5,67.0,0.494,6,1.0,7,262.0,1075.0,13959.0,15034.0,1793,18794226.0,13.2,0.0,False,OK
SKU-1018,WH-003,C,0.891,1.232,136.8,68.2,0.499,6,1.0,7,266.0,1087.0,14025.0,15112.0,1348,14129736.0,9.9,0.0588,False,OK
SKU-1018,WH-004,C,0.891,1.232,131.4,60.6,0.461,6,1.0,7,244.0,1033.0,13749.0,14782.0,2443,25607526.0,18.6,0.0,False,OK
SKU-1018,WH-005,C,0.891,1.232,132.5,64.0,0.483,6,1.0,7,253.0,1048.0,13805.0,14854.0,2317,24286794.0,17.5,0.0,False,OK
SKU-1018,WH-006,C,0.891,1.232,136.2,72.5,0.532,6,1.0,7,276.0,1093.0,13997.0,15090.0,364,3815448.0,2.7,1.0,True,REORDER
SKU-1018,WH-007,C,0.891,1.232,140.5,67.6,0.481,6,1.0,7,267.0,1111.0,14217.0,15328.0,342,3584844.0,2.4,1.0,True,REORDER
SKU-1022,WH-001,B,0.936,1.522,251.0,107.5,0.428,12,2.0,14,951.0,3963.0,5844.0,9807.0,2805,54464685.0,11.2,0.9991,True,REORDER
SKU-1022,WH-002,B,0.936,1.522,267.8,115.3,0.431,12,2.0,14,1017.0,4231.0,6036.0,10267.0,2839,55124863.0,10.6,0.9998,True,REORDER
SKU-1022,WH-003,B,0.936,1.522,257.9,111.2,0.431,12,2.0,14,980.0,4075.0,5924.0,9998.0,947,18387899.0,3.7,1.0,True,CRITICAL
SKU-1022,WH-004,B,0.936,1.522,252.4,107.7,0.427,12,2.0,14,955.0,3985.0,5861.0,9846.0,2359,45804703.0,9.3,1.0,True,REORDER
SKU-1022,WH-005,B,0.936,1.522,252.0,104.8,0.416,12,2.0,14,945.0,3969.0,5855.0,9824.0,2921,56717057.0,11.6,0.9981,True,REORDER
SKU-1022,WH-006,B,0.936,1.522,276.0,126.6,0.459,12,2.0,14,1073.0,4385.0,6128.0,10513.0,1654,32115718.0,6.0,1.0,True,REORDER
SKU-1022,WH-007,B,0.936,1.522,269.1,125.0,0.464,12,2.0,14,1051.0,4281.0,6052.0,10333.0,1645,31940965.0,6.1,1.0,True,REORDER
SKU-1023,WH-001,B,0.958,1.728,188.4,85.5,0.454,8,1.2,14,572.0,2080.0,11156.0,13236.0,2496,33823296.0,13.2,0.0426,False,OK
SKU-1023,WH-002,B,0.958,1.728,201.2,99.2,0.493,8,1.2,14,640.0,2249.0,11528.0,13777.0,1841,24947391.0,9.2,0.9271,True,REORDER
SKU-1023,WH-003,B,0.958,1.728,193.9,95.9,0.494,8,1.2,14,617.0,2169.0,11318.0,13486.0,672,9106272.0,3.5,1.0,True,REORDER
SKU-1023,WH-004,B,0.958,1.728,192.8,87.6,0.454,8,1.2,14,586.0,2128.0,11286.0,13414.0,895,12128145.0,4.6,1.0,True,REORDER
SKU-1023,WH-005,B,0.958,1.728,189.1,87.7,0.464,8,1.2,14,581.0,2094.0,11177.0,13271.0,1520,20597520.0,8.0,0.9896,True,REORDER
SKU-1023,WH-006,B,0.958,1.728,199.3,88.9,0.446,8,1.2,14,600.0,2194.0,11474.0,13668.0,1259,17060709.0,6.3,0.9999,True,REORDER
SKU-1023,WH-007,B,0.958,1.728,201.5,97.2,0.483,8,1.2,14,633.0,2244.0,11536.0,13780.0,1932,26180532.0,9.6,0.872,True,REORDER
SKU-1024,WH-001,A,0.982,2.097,177.8,82.3,0.463,4,2.4,30,959.0,1670.0,9145.0,10815.0,737,16618613.0,4.1,1.0,True,CRITICAL
SKU-1024,WH-002,A,0.982,2.097,193.0,87.7,0.454,4,2.4,30,1039.0,1811.0,9530.0,11341.0,2598,58582302.0,13.5,0.0,False,OK
SKU-1024,WH-003,A,0.982,2.097,182.0,84.7,0.466,4,2.4,30,983.0,1711.0,9254.0,10964.0,957,21579393.0,5.3,1.0,True,CRITICAL
SKU-1024,WH-004,A,0.982,2.097,181.9,79.3,0.436,4,2.4,30,974.0,1702.0,9251.0,10953.0,994,22413706.0,5.5,1.0,True,REORDER
SKU-1024,WH-005,A,0.982,2.097,184.9,87.3,0.472,4,2.4,30,1000.0,1740.0,9328.0,11068.0,1365,30779385.0,7.4,0.9841,True,REORDER
SKU-1024,WH-006,A,0.982,2.097,189.5,80.2,0.423,4,2.4,30,1011.0,1769.0,9441.0,11210.0,295,6651955.0,1.6,1.0,True,CRITICAL
SKU-1024,WH-007,A,0.982,2.097,189.4,91.5,0.483,4,2.4,30,1027.0,1785.0,9439.0,11224.0,2152,48525448.0,11.4,0.0224,False,OK
SKU-1025,WH-001,A,0.972,1.911,487.6,178.6,0.366,4,2.5,7,2427.0,4378.0,12493.0,16871.0,2586,52519074.0,5.3,1.0,True,REORDER
SKU-1025,WH-002,A,0.972,1.911,529.4,190.7,0.36,4,2.5,7,2632.0,4750.0,13018.0,17768.0,1860,37774740.0,3.5,1.0,True,CRITICAL
SKU-1025,WH-003,A,0.972,1.911,511.0,197.6,0.387,4,2.5,7,2556.0,4600.0,12790.0,17390.0,121,2457389.0,0.2,1.0,True,CRITICAL
SKU-1025,WH-004,A,0.972,1.911,501.9,179.5,0.358,4,2.5,7,2494.0,4502.0,12675.0,17177.0,582,11819838.0,1.2,1.0,True,CRITICAL
SKU-1025,WH-005,A,0.972,1.911,506.8,193.6,0.382,4,2.5,7,2532.0,4559.0,12737.0,17296.0,2897,58835173.0,5.7,1.0,True,REORDER
SKU-1025,WH-006,A,0.972,1.911,522.1,190.0,0.364,4,2.5,7,2598.0,4687.0,12928.0,17615.0,1235,25081615.0,2.4,1.0,True,CRITICAL
SKU-1025,WH-007,A,0.972,1.911,520.2,198.7,0.382,4,2.5,7,2599.0,4680.0,12904.0,17584.0,2885,58591465.0,5.5,1.0,True,REORDER
SKU-1026,WH-001,C,0.881,1.18,69.0,61.1,0.886,12,2.3,30,312.0,1139.0,10281.0,11421.0,124,1441624.0,1.8,1.0,True,CRITICAL
SKU-1026,WH-002,C,0.881,1.18,79.3,71.5,0.901,12,2.3,30,363.0,1315.0,11027.0,12341.0,1346,15648596.0,17.0,0.4497,False,OK
SKU-1026,WH-003,C,0.881,1.18,75.9,70.1,0.924,12,2.3,30,353.0,1263.0,10784.0,12047.0,1393,16195018.0,18.4,0.2964,False,OK
SKU-1026,WH-004,C,0.881,1.18,76.0,69.0,0.908,12,2.3,30,349.0,1261.0,10791.0,12052.0,622,7231372.0,8.2,0.9962,True,REORDER
SKU-1026,WH-005,C,0.881,1.18,71.4,63.4,0.888,12,2.3,30,323.0,1180.0,10460.0,11640.0,1236,14369736.0,17.3,0.3992,False,OK
SKU-1026,WH-006,C,0.881,1.18,80.4,71.7,0.891,12,2.3,30,365.0,1330.0,11103.0,12433.0,1910,22205660.0,23.8,0.0098,False,OK
SKU-1026,WH-007,C,0.881,1.18,78.1,69.9,0.896,12,2.3,30,356.0,1293.0,10939.0,12232.0,2104,24461104.0,27.0,0.0004,False,OK
SKU-1027,WH-001,B,0.953,1.675,298.6,113.1,0.379,10,0.7,14,694.0,3679.0,14289.0,17968.0,380,5605380.0,1.3,1.0,True,CRITICAL
SKU-1027,WH-002,B,0.953,1.675,323.2,130.6,0.404,10,0.7,14,789.0,4021.0,14867.0,18888.0,2678,39503178.0,8.3,0.9994,True,REORDER
SKU-1027,WH-003,B,0.953,1.675,305.7,137.1,0.449,10,0.7,14,810.0,3867.0,14458.0,18325.0,1575,23232825.0,5.2,1.0,True,REORDER
SKU-1027,WH-004,B,0.953,1.675,308.8,119.5,0.387,10,0.7,14,729.0,3817.0,14531.0,18347.0,1393,20548143.0,4.5,1.0,True,REORDER
SKU-1027,WH-005,B,0.953,1.675,306.2,118.1,0.386,10,0.7,14,721.0,3784.0,14471.0,18254.0,1946,28705446.0,6.4,1.0,True,REORDER
SKU-1027,WH-006,B,0.953,1.675,316.9,124.2,0.392,10,0.7,14,755.0,3925.0,14722.0,18646.0,2078,30652578.0,6.6,1.0,True,REORDER
SKU-1027,WH-007,B,0.953,1.675,317.1,135.6,0.428,10,0.7,14,809.0,3979.0,14725.0,18705.0,1650,24339150.0,5.2,1.0,True,REORDER
SKU-1028,WH-001,C,0.906,1.317,321.9,124.9,0.388,6,1.3,14,682.0,2614.0,17716.0,20329.0,1027,12266488.0,3.2,1.0,True,REORDER
SKU-1028,WH-002,C,0.906,1.317,356.9,140.8,0.395,6,1.3,14,761.0,2902.0,18654.0,21557.0,1488,17772672.0,4.2,1.0,True,REORDER
SKU-1028,WH-003,C,0.906,1.317,342.1,146.4,0.428,6,1.3,14,752.0,2804.0,18262.0,21067.0,1668,19922592.0,4.9,0.9992,True,REORDER
SKU-1028,WH-004,C,0.906,1.317,334.0,129.8,0.389,6,1.3,14,708.0,2713.0,18047.0,20759.0,1976,23601344.0,5.9,0.9898,True,REORDER
SKU-1028,WH-005,C,0.906,1.317,333.7,138.3,0.414,6,1.3,14,725.0,2727.0,18039.0,20766.0,1652,19731488.0,4.9,0.9992,True,REORDER
SKU-1028,WH-006,C,0.906,1.317,350.2,149.3,0.426,6,1.3,14,769.0,2870.0,18479.0,21349.0,1649,19695656.0,4.7,0.9996,True,REORDER
