snapshot_date,sku,warehouse,on_hand_units,unit_cost_vnd,inventory_value_vnd,used_cbm,inventory_type,lot_number,expiry_date
2024-06-28,SKU-1028,WH-004,403,11944.0,4813432.0,30.749,Third-Party Storage,LOT-12715,2025-06-15
2024-06-28,SKU-1029,WH-004,2982,8658.0,25818156.0,152.678,Finished Goods,LOT-99684,2024-10-13
2024-06-28,SKU-1000,WH-005,2959,21072.0,62352048.0,211.568,Raw Material,LOT-39740,2024-09-21
2024-06-28,SKU-1001,WH-005,2796,29611.0,82792356.0,187.891,Raw Material,LOT-80189,2025-01-01
2024-06-28,SKU-1002,WH-005,1594,31268.0,49841192.0,93.408,Third-Party Storage,LOT-50186,2025-01-31
2024-06-28,SKU-1003,WH-005,1858,12328.0,22905424.0,44.22,Finished Goods,LOT-90722,2024-08-18
2024-06-28,SKU-1005,WH-005,2533,9334.0,23643022.0,57.246,Finished Goods,LOT-13366,2025-05-24
2024-06-28,SKU-1006,WH-005,2668,11838.0,31583784.0,105.386,Raw Material,LOT-25513,2024-08-29
2024-06-28,SKU-1007,WH-005,1654,7650.0,12653100.0,80.219,Finished Goods,LOT-93356,2024-12-08
2024-06-28,SKU-1009,WH-005,2689,11325.0,30452925.0,100.3,Raw Material,LOT-16054,2024-08-17
2024-06-28,SKU-1010,WH-005,2777,7037.0,19541749.0,186.614,Finished Goods,LOT-11305,2024-12-04
2024-06-28,SKU-1011,WH-005,1910,11753.0,22448230.0,103.331,Raw Material,LOT-11922,2024-09-06
2024-06-28,SKU-1012,WH-005,735,11827.0,8692845.0,39.617,Raw Material,LOT-58075,2025-03-27
2024-06-28,SKU-1013,WH-005,2101,27592.0,57970792.0,80.258,Third-Party Storage,LOT-69332,2024-10-23
2024-06-28,SKU-1014,WH-005,1760,9043.0,15915680.0,125.312,Finished Goods,LOT-12329,2025-09-19
2024-06-28,SKU-1016,WH-005,2998,9032.0,27077936.0,206.262,Third-Party Storage,LOT-16260,2024-09-16
2024-06-28,SKU-1017,WH-005,1910,23057.0,44038870.0,91.107,Finished Goods,LOT-56233,2025-03-21
2024-06-28,SKU-1018,WH-005,1778,10482.0,18636996.0,83.21,Finished Goods,LOT-29989,2024-09-06
2024-06-28,SKU-1022,WH-005,796,19417.0,15455932.0,30.566,Third-Party Storage,LOT-83436,2024-08-24
2024-06-28,SKU-1023,WH-005,1570,13551.0,21275070.0,99.224,Raw Material,LOT-17250,2024-08-14
2024-06-28,SKU-1024,WH-005,1801,22549.0,40610749.0,45.205,Third-Party Storage,LOT-38783,2026-02-10
2024-06-28,SKU-1025,WH-005,1394,20309.0,28310746.0,40.008,Third-Party Storage,LOT-82589,2024-09-14
2024-06-28,SKU-1026,WH-005,1506,11626.0,17508756.0,82.679,Finished Goods,LOT-79518,2025-01-24
2024-06-28,SKU-1027,WH-005,2424,14751.0,35756424.0,118.534,Finished Goods,LOT-41734,2024-08-19
2024-06-28,SKU-1028,WH-005,208,11944.0,2484352.0,15.87,Third-Party Storage,LOT-93762,2025-05-16
2024-06-28,SKU-1029,WH-005,1372,8658.0,11878776.0,70.246,Finished Goods,LOT-45431,2024-10-10
2024-06-28,SKU-1000,WH-006,1645,21072.0,34663440.0,117.617,Raw Material,LOT-12826,2024-09-03
2024-06-28,SKU-1001,WH-006,2381,29611.0,70503791.0,160.003,Raw Material,LOT-73694,2025-04-01
2024-06-28,SKU-1002,WH-006,2364,31268.0,73917552.0,138.53,Third-Party Storage,LOT-91289,2024-09-01
2024-06-28,SKU-1003,WH-006,2104,12328.0,25938112.0,50.075,Finished Goods,LOT-37714,2024-10-16
2024-06-28,SKU-1005,WH-006,276,9334.0,2576184.0,6.238,Finished Goods,LOT-10166,2024-10-05
2024-06-28,SKU-1006,WH-006,543,11838.0,6428034.0,21.448,Raw Material,LOT-69024,2024-07-31
2024-06-28,SKU-1007,WH-006,253,7650.0,1935450.0,12.271,Finished Goods,LOT-67342,2024-08-19
2024-06-28,SKU-1009,WH-006,870,11325.0,9852750.0,32.451,Raw Material,LOT-17266,2025-02-04
2024-06-28,SKU-1010,WH-006,1165,7037.0,8198105.0,78.288,Finished Goods,LOT-17642,2024-11-21
2024-06-28,SKU-1011,WH-006,2597,11753.0,30522541.0,140.498,Raw Material,LOT-56902,2024-07-29
2024-06-28,SKU-1012,WH-006,2251,11827.0,26622577.0,121.329,Raw Material,LOT-80898,2024-12-08
2024-06-28,SKU-1013,WH-006,679,27592.0,18734968.0,25.938,Third-Party Storage,LOT-70323,2024-10-09
2024-06-28,SKU-1014,WH-006,2900,9043.0,26224700.0,206.48,Finished Goods,LOT-73134,2025-01-02
2024-06-28,SKU-1016,WH-006,580,9032.0,5238560.0,39.904,Third-Party Storage,LOT-35082,2024-09-29
2024-06-28,SKU-1017,WH-006,1301,23057.0,29997157.0,62.058,Finished Goods,LOT-81545,2025-10-04
2024-06-28,SKU-1018,WH-006,728,10482.0,7630896.0,34.07,Finished Goods,LOT-82013,2024-09-05
2024-06-28,SKU-1022,WH-006,1900,19417.0,36892300.0,72.96,Third-Party Storage,LOT-35618,2025-01-07
2024-06-28,SKU-1023,WH-006,2312,13551.0,31329912.0,146.118,Raw Material,LOT-63688,2024-11-29
2024-06-28,SKU-1024,WH-006,1843,22549.0,41557807.0,46.259,Third-Party Storage,LOT-14677,2026-04-27
2024-06-28,SKU-1025,WH-006,1821,20309.0,36982689.0,52.263,Third-Party Storage,LOT-21697,2024-09-01
2024-06-28,SKU-1026,WH-006,1771,11626.0,20589646.0,97.228,Finished Goods,LOT-62856,2025-04-23
2024-06-28,SKU-1027,WH-006,792,14751.0,11682792.0,38.729,Finished Goods,LOT-50265,2024-09-18
2024-06-28,SKU-1028,WH-006,303,11944.0,3619032.0,23.119,Third-Party Storage,LOT-68711,2024-10-13
2024-06-28,SKU-1029,WH-006,1833,8658.0,15870114.0,93.85,Finished Goods,LOT-72419,2024-11-30
2024-06-28,SKU-1000,WH-007,2540,21072.0,53522880.0,181.61,Raw Material,LOT-62140,2024-09-23
2024-06-28,SKU-1001,WH-007,2812,29611.0,83266132.0,188.966,Raw Material,LOT-19243,2026-06-22
2024-06-28,SKU-1002,WH-007,1046,31268.0,32706328.0,61.296,Third-Party Storage,LOT-26988,2024-11-16
2024-06-28,SKU-1003,WH-007,907,12328.0,11181496.0,21.587,Finished Goods,LOT-20306,2024-08-28
2024-06-28,SKU-1005,WH-007,360,9334.0,3360240.0,8.136,Finished Goods,LOT-54642,2024-10-28
2024-06-28,SKU-1006,WH-007,2502,11838.0,29618676.0,98.829,Raw Material,LOT-72195,2024-08-21
2024-06-28,SKU-1007,WH-007,2845,7650.0,21764250.0,137.983,Finished Goods,LOT-47843,2025-06-26
2024-06-28,SKU-1009,WH-007,1592,11325.0,18029400.0,59.382,Raw Material,LOT-32956,2024-12-14
2024-06-28,SKU-1010,WH-007,2802,7037.0,19717674.0,188.294,Finished Goods,LOT-92671,2024-09-18
2024-06-28,SKU-1011,WH-007,944,11753.0,11094832.0,51.07,Raw Material,LOT-46030,2024-07-31
2024-06-28,SKU-1012,WH-007,789,11827.0,9331503.0,42.527,Raw Material,LOT-89207,2024-12-14
2024-06-28,SKU-1013,WH-007,598,27592.0,16500016.0,22.844,Third-Party Storage,LOT-19407,2024-10-24
2024-06-28,SKU-1014,WH-007,2506,9043.0,22661758.0,178.427,Finished Goods,LOT-73441,2025-07-22
2024-06-28,SKU-1016,WH-007,1344,9032.0,12139008.0,92.467,Third-Party Storage,LOT-18863,2024-11-02
2024-06-28,SKU-1017,WH-007,2323,23057.0,53561411.0,110.807,Finished Goods,LOT-13889,2024-09-12
2024-06-28,SKU-1018,WH-007,1622,10482.0,17001804.0,75.91,Finished Goods,LOT-87124,2024-08-12
2024-06-28,SKU-1022,WH-007,910,19417.0,17669470.0,34.944,Third-Party Storage,LOT-42398,2024-10-03
2024-06-28,SKU-1023,WH-007,1872,13551.0,25367472.0,118.31,Raw Material,LOT-89369,2024-11-17
2024-06-28,SKU-1024,WH-007,281,22549.0,6336269.0,7.053,Third-Party Storage,LOT-38587,2025-09-04
2024-06-28,SKU-1025,WH-007,1584,20309.0,32169456.0,45.461,Third-Party Storage,LOT-52109,2024-09-16
2024-06-28,SKU-1026,WH-007,770,11626.0,8952020.0,42.273,Finished Goods,LOT-83515,2024-12-22
2024-06-28,SKU-1027,WH-007,1164,14751.0,17170164.0,56.92,Finished Goods,LOT-60304,2024-09-08
2024-06-28,SKU-1028,WH-007,190,11944.0,2269360.0,14.497,Third-Party Storage,LOT-25118,2025-04-25
2024-06-28,SKU-1029,WH-007,2703,8658.0,23402574.0,138.394,Finished Goods,LOT-40673,2024-10-14
