order_id,sku,warehouse,supplier_id,abc_class,policy_status,on_hand_units,reorder_point,safety_stock,max_stock,demand_avg,demand_during_lt,replenishment_qty,adjusted_qty,moq,order_date,expected_arrival,lead_time_days,cbm_required,capacity_available_cbm,capacity_ok,order_value_vnd,stockout_risk,dos_before_order
ORD-0012,SKU-1013,WH-001,SUP-003,A,CRITICAL,1263,2737,1573,11090,387.7,965.0,9827,9920,620,2024-06-29,2024-07-02,3,378.94,3516.16,True,273712640.0,1.0,3.3
ORD-0013,SKU-1013,WH-002,SUP-003,A,CRITICAL,709,3001,1727,11744,424.8,1160.0,11035,10540,620,2024-06-29,2024-07-02,3,402.63,391.84,True,290819680.0,1.0,1.7
ORD-0014,SKU-1013,WH-006,SUP-003,A,CRITICAL,679,2982,1713,11707,423.0,1245.0,11028,11160,620,2024-06-29,2024-07-02,3,426.31,2570.93,True,307926720.0,1.0,1.6
ORD-0015,SKU-1013,WH-007,SUP-003,A,CRITICAL,598,2937,1692,11577,414.9,1211.0,10979,11160,620,2024-06-29,2024-07-02,3,426.31,2952.06,True,307926720.0,1.0,1.4
ORD-0016,SKU-1024,WH-001,SUP-004,A,CRITICAL,214,1670,959,10815,177.8,751.0,10601,10665,2133,2024-06-29,2024-07-03,4,267.69,3137.22,True,240485085.0,1.0,1.2
ORD-0017,SKU-1024,WH-007,SUP-004,A,CRITICAL,281,1785,1027,11224,189.4,1014.0,10943,12798,2133,2024-06-29,2024-07-03,4,321.23,2525.75,True,288582102.0,1.0,1.5
ORD-0018,SKU-1025,WH-001,SUP-002,A,CRITICAL,2032,4378,2427,16871,487.6,1972.0,14839,16479,1831,2024-06-29,2024-07-03,4,472.95,2869.53,True,334672011.0,1.0,4.2
ORD-0019,SKU-1025,WH-003,SUP-002,A,CRITICAL,2386,4600,2556,17390,511.0,2160.0,15004,16479,1831,2024-06-29,2024-07-03,4,472.95,555.02,True,334672011.0,1.0,4.7
ORD-0020,SKU-1025,WH-004,SUP-002,A,CRITICAL,1537,4502,2494,17177,501.9,1946.0,15640,16479,1831,2024-06-29,2024-07-03,4,472.95,1658.89,True,334672011.0,1.0,3.1
ORD-0021,SKU-1025,WH-005,SUP-002,A,CRITICAL,1394,4559,2532,17296,506.8,1760.0,15902,16479,1831,2024-06-29,2024-07-03,4,472.95,709.76,True,334672011.0,1.0,2.8
ORD-0022,SKU-1025,WH-006,SUP-002,A,CRITICAL,1821,4687,2598,17615,522.1,2160.0,15794,16479,1831,2024-06-29,2024-07-03,4,472.95,2144.62,True,334672011.0,1.0,3.5
ORD-0023,SKU-1025,WH-007,SUP-002,A,CRITICAL,1584,4680,2599,17584,520.2,2077.0,16000,16479,1831,2024-06-29,2024-07-03,4,472.95,2204.52,True,334672011.0,1.0,3.0
ORD-0024,SKU-1003,WH-001,SUP-003,B,CRITICAL,361,6727,1320,21223,338.0,5739.0,20862,21080,620,2024-06-29,2024-07-15,16,501.7,2396.58,True,259874240.0,1.0,1.1
ORD-0025,SKU-1003,WH-003,SUP-003,B,CRITICAL,1393,7346,1454,22478,368.3,6092.0,21085,3720,620,2024-06-29,2024-07-15,16,88.54,82.07,True,45860160.0,1.0,3.8
ORD-0026,SKU-1003,WH-007,SUP-003,B,CRITICAL,907,7212,1433,22197,361.2,6941.0,21290,21700,620,2024-06-29,2024-07-15,16,516.46,1731.57,True,267517600.0,1.0,2.5
ORD-0027,SKU-1022,WH-005,SUP-001,B,CRITICAL,796,3969,945,9824,252.0,3287.0,9028,8008,2002,2024-06-29,2024-07-11,12,307.51,236.82,True,155491336.0,1.0,3.2
ORD-0028,SKU-1022,WH-007,SUP-001,B,CRITICAL,910,4281,1051,10333,269.1,3036.0,9423,10010,2002,2024-06-29,2024-07-11,12,384.38,1215.11,True,194364170.0,1.0,3.4
ORD-0029,SKU-1005,WH-006,SUP-004,C,CRITICAL,276,4231,548,18986,334.8,4256.0,18710,19197,2133,2024-06-29,2024-07-10,11,433.85,1671.67,True,179184798.0,1.0,0.8
ORD-0030,SKU-1005,WH-007,SUP-004,C,CRITICAL,360,4316,615,19107,336.4,4284.0,18747,19197,2133,2024-06-29,2024-07-10,11,433.85,830.73,True,179184798.0,1.0,1.1
ORD-0031,SKU-1007,WH-006,SUP-001,C,CRITICAL,253,2197,474,16591,123.0,1966.0,16338,18018,2002,2024-06-29,2024-07-13,14,873.87,1237.82,True,137837700.0,1.0,2.1
ORD-0032,SKU-1012,WH-001,SUP-004,C,CRITICAL,411,1953,673,18265,255.9,1353.0,17854,19197,2133,2024-06-29,2024-07-04,5,1034.72,1894.88,True,227042919.0,1.0,1.6
ORD-0033,SKU-1016,WH-006,SUP-003,C,CRITICAL,580,2576,781,14022,299.2,2119.0,13442,5580,620,2024-06-29,2024-07-05,6,383.9,363.95,True,50398560.0,1.0,1.9
ORD-0034,SKU-1018,WH-001,SUP-002,C,CRITICAL,124,989,230,14481,126.6,589.0,14357,14648,1831,2024-06-29,2024-07-05,6,685.53,860.16,True,153540336.0,1.0,1.0
ORD-0035,SKU-1028,WH-004,SUP-004,C,CRITICAL,403,2713,708,20759,334.0,1731.0,20356,17064,2133,2024-06-29,2024-07-05,6,1301.98,1185.94,True,203812416.0,1.0,1.2
ORD-0036,SKU-1028,WH-007,SUP-004,C,CRITICAL,190,2829,757,21177,345.3,1485.0,20987,6399,2133,2024-06-29,2024-07-05,6,488.24,396.88,True,76429656.0,1.0,0.6
ORD-0037,SKU-1029,WH-001,SUP-003,C,CRITICAL,613,4110,831,22126,298.1,3040.0,21513,3720,620,2024-06-29,2024-07-10,11,190.46,174.63,True,32207760.0,1.0,2.1
